,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
5484061377044071389,The Ultimate Solution to Versioning REST APIs: Content Negotiation,Modelando APIs REST com Swagger,bliki: StranglerApplication,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",Vision API - Image Content Analysis,Creating Your Code Review Checklist - DaedTech
5530820581773167955,Mulheres são mais criativas que homens?,A importância dos filmes de mulherzinha - Capitolina,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,Empresa britânica adota licença remunerada no período menstrual,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files"
5533752987392101383,7 Questions to Ask Before Your Next Digital Transformation,The return of the machinery question,Two Different Sales Motions . . . .,"Amazon open-sources its own deep learning software, DSSTNE",An operating model for company-wide agile development,Why the customer experience matters
5658521282502533116,ITA está oferecendo 10 cursos gratuitos a distância - Engenharia é:,Sua comunidade de Teste.,Top 5 Android Testing Frameworks with Examples,"How to build a robot that ""sees"" with $100 and TensorFlow",Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Como Usar o Git e o GitHub
5688279681867464747,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Building more accessible technology,Designing smart notifications,"Secret's founder returns with Bold, a Medium for enterprise",Seria Stranger Things uma obra de arte do algoritmo da Netflix?,"Google launches Springboard, an AI-powered assistant for its enterprise customers"
5719793245136119929,Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão,Mobile banking conquista o coração dos brasileiros,CMN regulamenta abertura de conta de depósito por meio eletrônico,Nubank começa a testar seu programa de fidelidade - Empresas Tech,"Agile is Dead, Long Live Continuous Delivery - Gradle","Say goodbye to traditional customer segmentation "" Banking Technology"
5787934590133549357,Ouça a música criada pela inteligência artificial do Google | Google Discovery,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Google is quietly recording everything you say. Here's how to hear it,Python Is Not Java (dirtSimple.org)
5795281877636738272,Microsoft's Open Source Love Affair Reaches New Heights,It's The Future,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",Google researchers teach AIs to see the important parts of images - and tell you about them,Google's Cloud Machine Learning service is now in public beta,Scala is the new golden child
5816734694927565572,Bot Design Patterns,Effective learning through code workshops | Box Blog,The Business Case for Progressive Web Apps,Facebook is open-sourcing its AI bot-building research,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption",Promises | Web Fundamentals - Google Developers
5847042211895226591,Elastic Stack 5.0.0 Released,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br",Closure Compiler in JavaScript,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog,Chrome OS now has Material Design for the desktop,Watch Google's AI master the infamously difficult Atari game Montezuma's Revenge
5849490334294127641,gotwarlost/istanbul,Resenha - A Chegada,Apenas US$ 59: Nintendo anuncia o relançamento do Nintendinho com 30 jogos na memória,How Do Top Android Developers QA Test Their Apps?,Creating Compound Views on Android,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl
5854206600849997966,The hardest thing in computer science,bliki: StranglerApplication,"GitHub broke my 1,000 day streak - Free Code Camp",Creating Your Code Review Checklist - DaedTech,The Java 8 API Design Principles,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications"
5875183869203898283,Google is quietly recording everything you say. Here's how to hear it,Coca-Cola Is Paying $575 Million for Unilever's Soy Drink Business,Facebook says its new AI is almost as good as humans at understanding context,7 Questions to Ask Before Your Next Digital Transformation,The return of the machinery question,14 Cool Drupal 8 modules for site builders | August 2016
5928346445655989915,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",Pesquisadores do MIT desenvolvem tecnologia que digitaliza livros fechados - Geek,Angular 2,[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption"
5940374562401786524,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Aplicações da Inteligência artificial | Endeavor Brasil,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,Sobre o Hipsters Ponto Tech,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Machine Learning and the VP Debate
5962268176939710955,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Google lags behind Amazon and Microsoft's cloud in one important area,Chat Smarter with Allo,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,The AI business landscape,Graph Capabilities with the Elastic Stack
5964888566269323942,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The economic essentials of digital strategy,Mobile Time,The new tech talent you need to succeed in digital,Meet the new Brazilian consumer,How to Create an Exponential Mindset
6015995473246774717,The need to lead in data and analytics,Can Accenture Take Over Advertising?,Meio&Mensagem,Meet the new Brazilian consumer,Accenture amplia atuação no Brasil,"Microsoft adquire LinkedIn por US$ 26,2 bilhões"
6031953227014493100,O chefe é gay. E daí?,The Genderbread Person v3 | It's Pronounced Metrosexual,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,Workplace diversity in Brazil: there's still a long way to go
6044362651232258738,Cinco competências comportamentais para você ser um bom líder,Investimentos em coaching e mentoring aumentam nas empresas,How to augment your career with leadership coaching,"Para neurociência, motivação não é fator principal em mudança de hábitos",Como resolver conflitos no ambiente corporativo us,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil
6062146090334604102,Serverless Data Sync in Web Apps with Bit Torrent,Cubr,Beyond Progressive Web Apps Part 2: We Need to Know What's New,Kubernetes,Eclipse Foundation Releases Neon,Prisma for Android is now live for all in the Google Play Store
6104598399077154797,Como consumir conteúdo de qualidade em iOS - CocoaHeads BR,Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,Salesforce Architect Journey,Peças Translúcidas,1º Congresso Brasileiro de IoT - Embarcados,My experience with Google's Associate Android Developer Certification
6152652267138213180,Staying one step ahead at Pixar: An interview with Ed Catmull,An operating model for company-wide agile development,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",Diane Greene wants to put the enterprise front and center of Google Cloud strategy,7 Questions to Ask Before Your Next Digital Transformation,Two Different Sales Motions . . . .
6201946560186605500,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,6 exemplos de como usar computação cognitiva | EXAME.com,The future of the shopping mall,Mobile Time,"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls"
6340108943344143104,Text summarization with TensorFlow,AI Is Here to Help You Write Emails People Will Actually Read,The AI business landscape,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Algorithms and architecture for job recommendations
6384824828701919724,14 Cool Drupal 8 modules for site builders | August 2016,Google is quietly recording everything you say. Here's how to hear it,Who sponsors Drupal development? | Dries Buytaert,Coca-Cola Is Paying $575 Million for Unilever's Soy Drink Business,Most Interesting APIs in 2016: Cognitive Computing,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com
6426224004219108539,"Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas","TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,O homofóbico dentro de cada um,The Genderbread Person v3 | It's Pronounced Metrosexual,Workplace diversity in Brazil: there's still a long way to go
6437568358552101410,Tech in Brazil is booming despite the country's political troubles,The barbell effect of machine learning.,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Artificial intelligence produces realistic sounds that fool humans,A step-by-step guide to agile growth experiments,The brilliant mechanics of Pokémon Go
6463551093741815202,"Little girls doubt that women can be brilliant, study shows",Workplace diversity in Brazil: there's still a long way to go,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Para entender o Dia Internacional contra a Homofobia
6519443272707698315,Two Different Sales Motions . . . .,An operating model for company-wide agile development,Why the customer experience matters,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,7 Questions to Ask Before Your Next Digital Transformation,Here's proof that Google is getting serious about battling Facebook in a key area
6521856301289868251,Notes on Reactive Programming Part I: The Reactive Landscape,The Netflix Tech Blog: Netflix Billing Migration to AWS,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Introducing Kotlin support in Spring Framework 5.0
6535950170823528902,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",Microsoft's Open Source Love Affair Reaches New Heights,Google's Cloud Machine Learning service is now in public beta,Google lança YouTube Kids no Brasil | Google Discovery,It's The Future,Scala is the new golden child
6540624159201421051,Bradesco vai lançar novo banco digital: o Next.,Facebook is open-sourcing its AI bot-building research,How This Former Google Engineer Is Bringing Blockchain to Banks,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Organizing for digital acceleration: Making a two-speed IT operating model work,Visa lança desafio para startups de tecnologia - Startupi
6569463984699537820,"Google anuncia Android Things, plataforma para a Internet das Coisas | Google Discovery",11 Internet of Things (IoT) Protocols You Need to Know About,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Assista a entrevista de Linus Torvalds no TED legendada,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,Nova pulseira tecnológica avisa se você já bebeu demais
6583734846225935852,"No ano em que a Apple completa 40 anos, confira a evolução do iPhone",Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,Why Is Learning Drupal Hard?,Iniciando com o Docker: Criando suas próprias imagens - Tableless,What to Expect at WWDC 2016,Apple Releases First Preview of Swift 3.0 for Developers
6615662748793536194,Especial: O papel dos grandes provedores de TI na Rio 2016,Governo brasileiro cria manual para contratação de cloud,Organizing for digital acceleration: Making a two-speed IT operating model work,Introducing JIRA Software for iPhone,big data = real time,"No Brasil, '25% dos celulares ainda são 'Burrofones'"
6620060201676471218,Creating Compound Views on Android,"Fresco, sim! - Android Dev BR",StrictMode for Runtime Analysis on Android - Google Developers,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",Getting Started with Activity & Fragment Transitions (part 1)
6642437212220341339,Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom,Governo define cronograma para plano nacional de Internet das Coisas,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,Nova pulseira tecnológica avisa se você já bebeu demais,11 Internet of Things (IoT) Protocols You Need to Know About,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...
6643427232964983922,#iLookLikeAnEngineer: One Year Later,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,Promoting gender equality through emoji �� ��,Criadas para casar,Workplace diversity in Brazil: there's still a long way to go,A importância dos filmes de mulherzinha - Capitolina
6644171916702621557,Criando ícones animados no Android,Tasting Dagger 2 on Android,My favorite people and resources to learn Android programming from,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Client-side ranking to more efficiently show people stories in feed
6664082205633624486,Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Cordova iOS Performance Improvements: Drop-in Speed with WKWebView,Microservices Architecture on Google App Engine,The Internet of Things is looking for its VisiCalc,Advanced Android Espresso
6678691743269420670,Why Deep Learning Is Suddenly Changing Your Life,How will bots make money? Here are 7 business models,Blaise Agüera y Arcas: How computers are learning to be creative,This Super Accurate Portrait Selection Tech Uses Neural Networks,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",5 reasons your employees aren't sharing their knowledge
6750029764020453263,"Microsoft anuncia Visual Studio para Mac, disponível ainda nesta semana | MacMagazine.com.br",Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,1º Congresso Brasileiro de IoT - Embarcados,The Business Case for Progressive Web Apps,Effective learning through code workshops | Box Blog,Inteligência artificial da IBM criou 'trailer perfeito' para filme
6783622248311192269,Par de alianças impede que seu parceiro assista Netflix sem você,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,Mary Meeker's essential 2016 Internet Trends Report,The AI business landscape,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,Touch (TV Series 2012-2013)
6807042796917367736,Bitbucket Pipelines Beta: continuous delivery inside Bitbucket - Bitbucket,Effective learning through code workshops | Box Blog,Facebook is open-sourcing its AI bot-building research,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",The AI business landscape
6817244649248188271,Desenvolvimento de Aplicativos Mobile com Xamarin -,Test and deploy to Google App Engine with the new Maven and Gradle plugins,Why Learning Angular 2 Was Excruciating,Most Interesting APIs in 2016: Cognitive Computing,Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi,Learning How to Learn: The Most Important Developer Skill - Free Code Camp
6829640091575814990,Branding é problema seu. E meu.,"Meet Bozoma Saint John, the Apple executive who stole the show at WWDC",A identidade visual de Budapeste para as Olimpíadas de 2024,Sete Reinos,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,Designer Creates 13 Perfect Circles to Draw Almost Any Animal
6850500272809381909,WeChat's competitor to Slack has arrived,WeChat's world,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic","How I built an app with 500,000 users in 5 days on a $100 server",Multi-Channel Marketing in 2015 - It's not rocket science.,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow"
6852597772196653540,Firebase and Google Cloud: better together,Google lags behind Amazon and Microsoft's cloud in one important area,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,Assista a entrevista de Linus Torvalds no TED legendada,Transfer Style But Not Color
6881796783400625893,Santander Vies to Become First Bank to Issue Cash on Blockchain - CoinDesk,Quick Tip: Working with the JavaScript Battery API,Comparing React.js to Vue.js for dynamic tabular data,"A whole new GitHub Universe: announcing new tools, forums, and features",CMN regulamenta abertura de conta de depósito por meio eletrônico,Building Flipkart Lite: A Progressive Web App
6910763794618680440,JavaServer Faces 2.3 Quick Reference - DZone Java,Graph Capabilities with the Elastic Stack,Eclipse Foundation Releases Neon,Lists are the new search,Jury finds Google's implementation of Java in Android was fair use,Plano nacional de ''internet das coisas'' sai em fevereiro
6940370558848102253,Graduação já não garante uma carreira de sucesso em TI - CIO,Nubank pode fechar as portas se BC confirmar mudança amanhã,Big IT Rising,Accenture amplia atuação no Brasil,Visa lança desafio para startups de tecnologia - Startupi,"No, Apple isn't the next BlackBerry - it's the next Microsoft"
6941466664989793964,Accenture amplia atuação no Brasil,Nubank pode fechar as portas se BC confirmar mudança amanhã,Visa lança desafio para startups de tecnologia - Startupi,Organizing for digital acceleration: Making a two-speed IT operating model work,You won't recognize the new world of digital payments without this report,Can Accenture Take Over Advertising?
6947862790919978120,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog,Chrome OS now has Material Design for the desktop,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br",Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,Elastic Stack 5.0.0 Released,The Business Case for Progressive Web Apps
6989198691754522425,Front in BH 2016,Python Is Not Java (dirtSimple.org),Design Better Forms - uxdesign.cc - User Experience Design,How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Promises | Web Fundamentals - Google Developers
6997620589258672675,Abrimos uma conta no Original.,Mobile Time,Nubank e Goldman fecham parceria de R$ 200 milhões,Accenture amplia atuação no Brasil,Itaú Unibanco fecha compra de ativos de varejo do Citi no Brasil,Nubank começa a testar seu programa de fidelidade - Empresas Tech
7013665235990336340,Itaú Unibanco fecha compra de ativos de varejo do Citi no Brasil,Abrimos uma conta no Original.,"Em 2017 será possível ignorar totalmente o cartão físico, garante Itaú",Engineering Digital Banking Solutions Using UX Methodology,"Elektro, Google e Sama lideram entre as melhores empresas para trabalhar em 2016",Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito
7065704533945771463,Nova regra do Banco Central pode significar o fim do Nubank; entenda - IDG Now!,"GitHub broke my 1,000 day streak - Free Code Camp",The Continuous Delivery Maturity Model,What Color is Your Function?,Using Honcho to Create a Multi-Process Docker Container,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO
7087600436874507849,Workshop de Design Thinking - Unicamp,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Top 5 Android Testing Frameworks with Examples,Most Interesting APIs in 2016: Cognitive Computing,Visa lança desafio para startups de tecnologia - Startupi,Hacked Website Report - 2016/Q3
7088167897470452815,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins",Qual é o valor da área de T&D na sua empresa?,What Science Tells Us About Leadership Potential,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Investimentos em coaching e mentoring aumentam nas empresas,4 Reasons Managers Should Spend More Time on Coaching
7155061818771055780,Wide & Deep Learning: Better Together with TensorFlow,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","DARPA Goes ""Meta"" with Machine Learning for Machine Learning",The AI business landscape,This Super Accurate Portrait Selection Tech Uses Neural Networks,Making open source data more available
7181581805250416928,Liberty vai adotar telemetria e baratear seguro para bons motoristas,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,Mobile Time,Nubank começa a testar seu programa de fidelidade - Empresas Tech,CMN regulamenta abertura de conta de depósito por meio eletrônico,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce"
7187598944032799890,Top 15 Facebook Open Source Projects You Must Know,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mobify report reveals impact of mobile website speed,"A whole new GitHub Universe: announcing new tools, forums, and features"
7202701636941380671,Combining Spring Boot and JDBI,"Kotlin in Production - What works, Whats broken",Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Introducing Kotlin support in Spring Framework 5.0,Building Spring Cloud Microservices That Strangle Legacy Systems,On Orchestrated Microservices - Built to Adapt
7226503561499839165,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",Serverless real-time architecture on AWS: there is a way !,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery,Microservices Architecture on Google App Engine,Building Spring Cloud Microservices That Strangle Legacy Systems
7229629480273331039,"An independent organization just ranked Google as the best cloud, beating Amazon",Staying one step ahead at Pixar: An interview with Ed Catmull,Top 10 Intranet Trends of 2016,9 Non-Threatening Leadership Strategies for Women,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,Two Different Sales Motions . . . .
7255021292858609470,An operating model for company-wide agile development,Big IT Rising,Embracing Agile,You won't recognize the new world of digital payments without this report,An operating model for company-wide agile development,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce"
7270966256391553686,Announcing .NET Core 1.0,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Beyond Progressive Web Apps Part 1,Accidental discovery could help batteries last years longer,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Chrome DevTools - Console API Reference
7277161137091492767,An overview of web service solutions in Drupal 8,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Cross-channel user experiences with Drupal,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,Dries Buytaert,The AI business landscape
7395435905985567130,The AI business landscape,"Hello, TensorFlow!",Making open source data more available,Text summarization with TensorFlow,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Amazon open-sources its own deep learning software, DSSTNE"
7400903238402587728,Inbox by Gmail ganha formatação de texto | Google Discovery,"Google launches Springboard, an AI-powered assistant for its enterprise customers","Secret's founder returns with Bold, a Medium for enterprise",Powering a more connected and collaborative enterprise,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,Touch (TV Series 2012-2013)
7414483722019578252,Good developers take breaks * Greetings Programs,"Little girls doubt that women can be brilliant, study shows",The Netflix Tech Blog: Netflix Billing Migration to AWS,You don't talk about refactoring club,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,Mulheres são mais criativas que homens?
7424795099560672335,7 Tips to Create a Company Learning Culture like Google - Without Resources,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Effective learning through code workshops | Box Blog,The Business Case for Progressive Web Apps,You don't talk about refactoring club,19 Tips For Everyday Git Use
7429409096643373334,Beyond Progressive Web Apps Part 2: We Need to Know What's New,Beyond Progressive Web Apps Part 1,Serverless Data Sync in Web Apps with Bit Torrent,"Autofill: What web devs should know, but don't",Introduction to release engineering,The Internet of Things is looking for its VisiCalc
7434270606888620096,Stackdriver Debugger now works with source code directly in GitHub and Bitbucket,StrictMode for Runtime Analysis on Android - Google Developers,"Fresco, sim! - Android Dev BR",Jury finds Google's implementation of Java in Android was fair use,Up your app's sharing game with DirectShare - Google Developers,It's The Future
7458850059926549081,Bring Your App To Life with CALayers,Building interfaces with ConstraintLayout - Google Developers,Android Studio 2.2,Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,The End Of Apple Man,Closure Compiler in JavaScript
7459643459148487877,Grupo de bancos adere à tecnologia do bitcoin em transações,"Agile is Dead, Long Live Continuous Delivery - Gradle","Em 2017 será possível ignorar totalmente o cartão físico, garante Itaú",Microsoft's Open Source Love Affair Reaches New Heights,"Docker - Build, Ship, and Run Any App, Anywhere",Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js
7459726589306441015,Shopping app Spring's redesign could be a game-changer,"No, Apple isn't the next BlackBerry - it's the next Microsoft",The future of the shopping mall,Here's proof that Google is getting serious about battling Facebook in a key area,Making open source data more available,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels"
7506614456429888492,Assessing Salesforce's platform and ecosystem | ZDNet,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The economic essentials of digital strategy,"Elopar lança o ""Digio"", cartão para brigar com Nubank",O tênue equilíbrio da equipe que desenha produtos digitais,The new tech talent you need to succeed in digital
7507067965574797372,Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,Inteligência artificial da IBM criou 'trailer perfeito' para filme,"How to build a robot that ""sees"" with $100 and TensorFlow",Burger King aceita pedidos via mensagens no Facebook - Startupi,On Orchestrated Microservices - Built to Adapt,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery
7516228655554309785,A digital crack in banking's business model,An operating model for company-wide agile development,The Biggest Crowdfunding Project Ever Was Supposed to Create Manager-free Companies. But It's a Mess,Staying one step ahead at Pixar: An interview with Ed Catmull,"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans",The Future of Business is Design
7520301770873472812,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Creating value in auto finance with vLendRight | Kevin Moseri,How to Create an Exponential Mindset,Google acquires deep search engine Kifi to enhance its Spaces group chat app,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",The economic essentials of digital strategy
7521700660190108859,Como são escrita as risadas em japonês? - Suki Desu,Learn Hiragana: The Ultimate Guide,Design Patterns: Progressive Disclosure for Mobile Apps,Top 15 Facebook Open Source Projects You Must Know,"Hello, a nova rede social do Orkut, está liberada no Brasil",How the queen of Silicon Valley is helping Google go after Amazon's most profitable business
7526364197140419661,Digital Health Coaching,Artificial intelligence produces realistic sounds that fool humans,Two Different Sales Motions . . . .,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,The Internet of Things is looking for its VisiCalc,The barbell effect of machine learning.
7529823674661315431,Google lança experimentos com inteligência artificial | Google Discovery,Aplicação de visão computacional com OpenCV,Acesse a versão Material Design do YouTube | Google Discovery,Burger King aceita pedidos via mensagens no Facebook - Startupi,How I sped up the initial render of my Polymer app by 86%,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery
7534917347133949300,The Importance of Code Reviews,Post: Just Say mNo to Hungarian Notation,Pull request first - Practical Blend,Sam Newman - Backends For Frontends,Firebase Test Lab for Android,Creating Your Code Review Checklist - DaedTech
7544768317373280661,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Why Is Learning Drupal Hard?,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Transfer Style But Not Color,Powering a more connected and collaborative enterprise,Spark comparison: AWS vs. GCP
7606744605433799135,Why the customer experience matters,Two Different Sales Motions . . . .,7 Questions to Ask Before Your Next Digital Transformation,An operating model for company-wide agile development,"5 awesome Google Keep features you aren't using, but should be",The return of the machinery question
7612428320594238723,Why Is Learning Drupal Hard?,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Iniciando com o Docker: dicas práticas para começar a usar agora mesmo - Tableless,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,"No ano em que a Apple completa 40 anos, confira a evolução do iPhone"
7620697593009487898,Spotify UI built with HTML / CSS - Freebiesbug,JavaScript Conquered the Web. Now It's Taking Over the Desktop,How I sped up the initial render of my Polymer app by 86%,Progressive Web App - first introduced on Google I/O | airberlin,Touch (TV Series 2012-2013),Seria Stranger Things uma obra de arte do algoritmo da Netflix?
7664140604181040222,Will blockchain drive the fourth Industrial Revolution?,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Bayer anuncia compra da Monsanto por US$ 66 bilhões,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,Este texto do Ranieri é a melhor coisa que você lerá hoje
7734121175534200554,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,"Say goodbye to traditional customer segmentation "" Banking Technology",Governo define cronograma para plano nacional de Internet das Coisas,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,What Science Tells Us About Leadership Potential
7804826445069770894,"Secret's founder returns with Bold, a Medium for enterprise",The AI business landscape,5 reasons your employees aren't sharing their knowledge,"Google launches Springboard, an AI-powered assistant for its enterprise customers",Why Google App Engine rocks: A Google engineer's take,"5 awesome Google Keep features you aren't using, but should be"
